,Timestamp,FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SOCIAL_NETWORK,BMI_RANGE,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
27,7/13/15,2,4,3,7,1,5,7,2,2,2,21 to 35,Female,692.8
28,7/13/15,3,4,4,10,1,10,6,1,2,8,36 to 50,Female,673.2
29,7/13/15,4,2,3,2,1,4,7,2,1,7,Less than 20,Female,673.9
30,7/13/15,5,3,3,5,1,10,7,1,5,10,21 to 35,Male,712.5
31,7/14/15,3,1,5,10,1,3,8,2,4,1,36 to 50,Female,692.6
32,7/14/15,0,5,3,8,2,1,6,2,2,1,36 to 50,Female,574.5
33,7/14/15,1,3,3,3,1,5,8,1,3,7,51 or more,Female,630.1
34,7/14/15,4,2,6,8,1,10,7,2,4,10,21 to 35,Male,746.5
35,7/14/15,3,3,2,5,2,2,6,1,2,10,21 to 35,Male,591.7
36,7/14/15,2,3,4,8,1,2,6,2,6,10,51 or more,Female,729.4
37,7/15/15,2,5,8,2,2,10,8,1,0,10,36 to 50,Female,593.7
38,7/15/15,4,1,10,10,2,7,6,1,4,10,51 or more,Male,682.8
39,7/15/15,5,3,6,7,1,3,9,2,6,10,51 or more,Female,723.4
40,7/15/15,4,2,8,4,1,3,7,2,4,8,21 to 35,Female,687.3
41,7/15/15,4,3,8,3,2,3,5,2,0,2,51 or more,Female,635.9
42,7/15/15,2,3,8,10,2,2,9,1,0,10,51 or more,Female,655.2
43,7/15/15,3,2,1,10,1,7,7,1,5,8,21 to 35,Male,652.4
44,7/15/15,2,3,10,4,1,8,8,2,2,3,36 to 50,Female,657.9
45,7/16/15,3,5,2,10,1,10,5,2,2,2,36 to 50,Female,686.6
46,7/16/15,5,3,10,6,1,10,6,2,4,10,51 or more,Female,732.7
47,7/16/15,4,2,10,8,2,10,8,1,3,7,21 to 35,Female,685.5
48,7/16/15,3,2,10,10,2,7,7,2,3,10,51 or more,Female,742.5
49,7/16/15,2,3,10,10,2,2,8,2,1,1,36 to 50,Female,663.5
50,7/16/15,4,3,3,10,1,8,7,2,5,9,21 to 35,Female,710.4
51,7/16/15,3,5,9,10,2,10,8,2,3,5,21 to 35,Female,658.3
52,7/17/15,1,2,6,10,2,5,6,2,1,2,36 to 50,Male,633.1
53,7/18/15,5,2,6,9,1,6,8,2,3,5,51 or more,Female,677.9
54,7/18/15,4,2,10,2,2,1,6,2,4,4,21 to 35,Female,640.8
55,7/18/15,1,4,1,7,1,3,6,1,2,1,Less than 20,Female,557.9
56,7/18/15,4,2,6,10,2,5,8,2,1,2,36 to 50,Female,669.2
57,7/18/15,5,4,6,10,1,10,7,2,4,5,36 to 50,Male,712.5
58,7/18/15,4,3,1,2,1,10,7,2,1,7,51 or more,Female,712.5
59,7/18/15,0,5,2,2,1,1,10,1,0,0,21 to 35,Male,571.9
60,7/18/15,0,5,2,2,1,1,10,1,0,0,21 to 35,Male,575.3
61,7/18/15,4,3,7,8,1,8,7,2,9,4,21 to 35,Female,678.1
62,7/19/15,5,2,5,4,1,6,7,1,8,8,21 to 35,Male,648.8
63,7/19/15,1,1,2,5,1,8,6,2,1,7,21 to 35,Male,649.0
64,7/19/15,2,5,4,0,1,2,9,1,1,10,36 to 50,Female,656.9
65,7/19/15,3,3,8,6,1,5,6,2,4,8,21 to 35,Female,680.7
66,7/19/15,3,3,8,6,1,5,6,1,4,8,21 to 35,Female,663.7
67,7/19/15,2,1,3,4,2,10,7,2,3,10,21 to 35,Male,661.5
68,7/19/15,3,1,1,3,1,6,7,2,1,1,51 or more,Female,609.7
69,7/19/15,3,2,4,10,2,1,8,2,2,6,21 to 35,Female,656.5
70,7/19/15,4,3,10,10,1,8,8,2,6,10,21 to 35,Male,739.5
71,7/19/15,3,5,0,3,1,10,4,2,1,10,21 to 35,Female,657.5
72,7/19/15,0,4,2,3,2,4,4,1,0,0,36 to 50,Female,528.8
73,7/20/15,4,3,8,10,2,7,6,2,1,3,51 or more,Male,694.7
74,7/20/15,5,1,4,2,1,4,8,2,5,10,51 or more,Female,662.2
75,7/20/15,5,2,1,10,1,5,7,2,2,10,21 to 35,Female,704.7
76,7/20/15,5,2,1,5,1,10,8,2,1,6,36 to 50,Female,694.0
77,7/20/15,3,3,10,7,1,10,8,1,3,7,21 to 35,Female,709.3
78,7/20/15,0,5,2,0,2,1,6,1,1,10,21 to 35,Male,538.8
79,7/20/15,1,1,2,3,1,8,8,2,1,10,Less than 20,Male,654.5
80,7/20/15,5,1,4,4,2,1,8,2,3,10,51 or more,Female,680.3
81,7/20/15,3,4,7,7,2,3,6,2,0,4,21 to 35,Female,651.4
82,7/20/15,5,2,5,10,1,2,8,2,5,5,21 to 35,Female,724.7
83,7/20/15,5,2,6,10,2,6,6,2,2,5,51 or more,Female,677.5
84,7/20/15,4,4,2,10,2,7,6,2,3,7,51 or more,Female,696.4
85,7/20/15,2,4,6,5,1,2,8,1,6,4,36 to 50,Female,658.4
86,7/20/15,5,0,3,7,1,8,8,2,5,10,36 to 50,Female,749.7
87,7/20/15,3,4,7,4,2,9,6,2,1,10,36 to 50,Female,676.4
88,7/20/15,3,4,4,5,2,9,6,2,0,10,21 to 35,Female,594.8
89,7/20/15,5,3,1,10,1,10,8,2,5,10,21 to 35,Female,758.6
90,7/20/15,3,4,1,3,1,7,6,2,1,10,21 to 35,Male,640.3
91,7/21/15,3,2,3,10,1,8,7,2,1,7,36 to 50,Male,678.1
92,7/21/15,2,3,4,10,2,4,6,2,1,7,36 to 50,Male,678.8
93,7/21/15,1,5,1,3,2,1,10,2,0,1,36 to 50,Female,551.5
94,7/21/15,5,5,2,8,1,10,6,1,2,1,21 to 35,Female,639.2
95,7/21/15,1,3,6,10,1,7,7,2,5,3,21 to 35,Female,718.7
96,7/21/15,1,3,6,10,1,5,7,2,3,3,21 to 35,Female,697.9
97,7/21/15,2,3,3,5,1,4,7,2,4,4,51 or more,Female,670.5
98,7/21/15,4,3,10,10,1,3,7,1,2,6,36 to 50,Female,666.9
99,7/21/15,5,4,10,8,2,8,6,1,2,3,21 to 35,Male,638.8
100,7/21/15,5,4,3,8,2,5,6,1,5,6,21 to 35,Female,651.8
101,7/21/15,3,2,3,3,1,10,9,1,2,9,21 to 35,Male,639.8
102,7/22/15,3,2,8,5,1,6,7,2,2,7,36 to 50,Female,687.9
103,7/22/15,2,3,10,4,2,2,7,2,0,2,21 to 35,Female,593.6
104,7/22/15,3,4,8,3,1,5,8,1,1,3,21 to 35,Female,626.7
105,7/22/15,2,2,1,10,1,3,6,1,1,7,21 to 35,Male,658.2
106,7/22/15,1,2,4,1,1,1,7,1,5,7,51 or more,Female,605.3
107,7/23/15,3,2,6,9,2,1,6,1,2,2,36 to 50,Female,645.9
108,7/23/15,2,2,6,2,1,6,8,2,5,6,21 to 35,Male,669.4
109,7/23/15,1,3,5,2,1,10,7,1,0,7,21 to 35,Female,605.4
110,7/23/15,3,2,7,5,2,5,6,2,2,8,51 or more,Female,690.9
111,7/23/15,5,2,7,3,1,1,9,2,5,10,Less than 20,Female,709.4
112,7/23/15,3,5,3,10,2,10,6,1,3,10,21 to 35,Female,627.3
113,7/24/15,2,5,10,2,1,4,8,2,3,10,51 or more,Female,643.5
114,7/24/15,2,1,0,6,1,8,7,2,4,4,21 to 35,Male,637.3
115,7/24/15,1,2,8,5,1,9,10,2,2,4,21 to 35,Female,665.3
116,7/24/15,5,2,5,5,1,10,9,2,3,10,21 to 35,Male,714.6
117,7/24/15,5,3,6,10,1,9,5,1,5,3,21 to 35,Female,649.0
118,7/24/15,5,2,4,10,1,10,7,2,1,10,36 to 50,Female,717.6
119,7/24/15,5,4,3,10,1,10,7,2,2,8,36 to 50,Male,748.2
120,7/24/15,3,5,7,5,1,9,7,2,0,10,36 to 50,Female,637.5
121,7/24/15,2,3,7,5,1,9,4,1,1,7,21 to 35,Female,628.4
122,7/24/15,3,4,5,5,1,3,5,2,4,5,Less than 20,Male,634.2
123,7/24/15,5,4,7,4,1,3,9,2,3,8,21 to 35,Male,653.7
124,7/25/15,1,3,5,2,1,10,8,1,4,10,21 to 35,Male,656.6
125,7/25/15,2,0,10,5,1,1,10,2,7,10,36 to 50,Female,670.5
126,7/25/15,1,2,1,7,2,1,8,2,0,4,36 to 50,Female,588.5
127,7/25/15,2,3,3,8,1,6,8,2,1,8,36 to 50,Female,672.8
128,7/25/15,5,4,3,10,1,10,6,2,3,5,21 to 35,Male,695.3
129,7/25/15,2,3,5,5,2,2,6,1,1,1,36 to 50,Male,591.7
130,7/25/15,3,2,5,10,2,5,9,2,1,8,21 to 35,Female,649.0
131,7/25/15,5,3,10,10,2,7,7,2,2,5,51 or more,Female,708.5
132,7/25/15,1,1,6,4,1,3,6,2,2,4,Less than 20,Female,673.5
133,7/25/15,0,4,1,3,1,4,5,2,0,4,21 to 35,Female,595.3
134,7/26/15,3,4,6,10,2,10,7,2,6,5,51 or more,Female,671.7
135,7/26/15,3,4,4,3,1,10,5,2,2,3,Less than 20,Female,625.4
136,7/26/15,5,1,6,7,1,7,10,2,3,7,Less than 20,Male,705.7
137,7/26/15,5,2,10,10,1,9,9,2,6,5,36 to 50,Male,753.5
138,7/26/15,5,1,4,10,1,8,10,2,5,7,Less than 20,Male,707.6
139,7/26/15,5,0,4,8,1,10,10,2,5,5,Less than 20,Male,713.1
140,7/26/15,5,2,4,1,2,7,6,2,8,4,51 or more,Female,687.9
141,7/26/15,5,3,10,5,2,5,7,2,3,7,51 or more,Female,665.6
142,7/26/15,1,2,3,2,2,2,8,1,0,1,21 to 35,Male,576.8
143,7/26/15,2,5,6,4,2,5,6,2,3,3,36 to 50,Female,602.5
144,7/26/15,3,4,5,4,1,7,6,2,2,7,36 to 50,Female,669.2
145,7/26/15,2,2,6,4,1,4,7,2,4,6,36 to 50,Female,680.7
146,7/27/15,5,5,5,10,1,4,9,2,9,5,36 to 50,Female,694.7
147,7/27/15,3,4,2,3,2,1,9,2,0,0,36 to 50,Female,612.5
148,7/27/15,4,3,6,7,1,5,7,2,2,10,36 to 50,Male,679.2
149,7/27/15,2,3,3,10,1,3,8,2,6,10,21 to 35,Male,677.3
150,7/27/15,5,1,8,10,1,6,7,2,1,10,36 to 50,Female,730.4
151,7/27/15,3,5,3,4,1,2,8,1,4,7,36 to 50,Female,658.4
152,7/27/15,5,3,4,2,1,4,6,2,2,6,36 to 50,Female,714.5
153,7/27/15,5,5,5,10,1,6,6,1,1,3,Less than 20,Female,619.7
154,7/27/15,4,3,7,5,1,6,7,2,3,5,21 to 35,Female,672.6
155,7/27/15,3,3,2,3,2,3,8,2,0,1,36 to 50,Female,602.5
156,7/27/15,4,3,7,4,1,5,7,2,1,7,51 or more,Female,689.4
157,7/27/15,3,2,10,6,2,2,7,2,4,3,51 or more,Male,683.7
158,7/27/15,1,5,1,4,1,4,6,2,0,1,51 or more,Female,632.9
159,7/27/15,1,1,5,7,1,5,8,2,1,4,21 to 35,Male,665.8
160,7/27/15,5,3,10,6,2,6,6,2,6,7,51 or more,Female,733.6
161,7/27/15,5,2,10,10,1,10,8,2,2,7,51 or more,Female,711.0
162,7/27/15,1,3,2,1,2,3,10,1,0,10,21 to 35,Male,558.7
163,7/28/15,4,3,10,10,1,10,8,2,10,5,51 or more,Female,753.5
164,7/28/15,3,2,3,5,1,3,7,1,4,4,21 to 35,Female,636.3
165,7/28/15,3,3,8,1,2,2,9,1,1,6,21 to 35,Female,604.2
166,7/28/15,1,4,6,7,2,2,5,1,1,5,51 or more,Male,620.4
167,7/28/15,3,4,5,6,1,10,5,2,0,3,21 to 35,Female,645.8
168,7/28/15,3,4,1,1,2,9,6,1,1,2,21 to 35,Male,594.8
169,7/28/15,2,3,10,10,2,10,6,2,5,8,21 to 35,Male,674.9
170,7/28/15,5,3,5,10,2,10,6,2,4,7,51 or more,Female,715.7
171,7/29/15,2,1,2,1,2,1,6,2,0,10,51 or more,Male,596.6
172,7/29/15,5,1,4,4,1,2,8,2,3,7,Less than 20,Male,680.5
173,7/29/15,3,2,8,8,1,10,7,2,1,7,36 to 50,Female,715.9
174,7/29/15,3,3,5,2,2,10,7,2,1,3,51 or more,Female,639.4
175,7/29/15,5,1,3,9,1,7,8,2,1,9,21 to 35,Female,698.5
176,7/29/15,0,1,9,10,1,2,8,1,0,1,21 to 35,Male,639.7
177,7/29/15,4,4,4,4,1,5,7,2,10,10,51 or more,Female,714.9
178,7/29/15,2,2,4,5,1,9,7,2,2,8,21 to 35,Female,657.9
179,7/29/15,4,2,6,10,2,3,8,2,1,10,51 or more,Female,658.6
180,7/29/15,5,1,10,5,1,6,8,2,4,10,51 or more,Female,732.3
181,7/29/15,5,2,3,10,2,4,7,2,10,10,51 or more,Female,706.2
182,7/29/15,3,4,7,6,2,9,5,2,0,0,21 to 35,Female,642.2
183,7/29/15,5,2,3,5,1,7,9,2,2,9,51 or more,Female,702.1
184,7/30/15,2,3,10,8,1,6,7,1,5,10,21 to 35,Female,699.8
185,7/30/15,4,2,2,10,1,5,7,1,8,8,51 or more,Male,665.6
186,7/30/15,3,3,9,5,2,1,10,2,6,7,Less than 20,Female,677.3
187,7/30/15,5,2,8,10,1,10,7,2,4,4,36 to 50,Female,729.5
188,7/30/15,0,3,5,5,1,1,6,1,1,10,21 to 35,Female,628.9
189,7/30/15,2,5,4,4,1,1,8,1,1,3,21 to 35,Female,583.4
190,7/30/15,0,4,4,3,2,1,8,2,5,9,21 to 35,Male,597.0
191,7/30/15,5,4,10,3,1,8,7,2,3,3,21 to 35,Female,679.8
192,7/30/15,2,4,0,8,1,4,9,1,4,10,36 to 50,Male,628.4
193,7/30/15,2,4,10,5,2,1,5,2,0,2,36 to 50,Male,627.0
194,7/30/15,2,1,8,5,1,7,8,2,10,10,21 to 35,Male,739.3
195,7/31/15,4,4,10,7,2,10,8,2,7,7,36 to 50,Female,704.2
196,7/31/15,1,4,6,7,1,1,7,1,2,10,Less than 20,Female,661.4
197,7/31/15,2,4,8,4,2,4,6,2,1,8,36 to 50,Male,615.9
198,7/31/15,4,4,5,7,1,8,8,2,4,9,51 or more,Female,741.2
199,7/31/15,3,1,3,3,2,10,8,1,5,10,36 to 50,Male,677.0
200,7/31/15,4,4,5,10,2,3,7,2,1,2,51 or more,Male,644.8
201,7/31/15,1,1,4,10,1,10,6,2,5,10,21 to 35,Male,727.6
202,7/31/15,3,4,1,1,2,3,6,1,1,3,36 to 50,Female,608.9
203,7/31/15,3,1,9,10,1,2,7,2,6,10,21 to 35,Female,734.7
204,7/31/15,1,4,10,2,1,3,10,1,1,8,21 to 35,Female,650.5
205,7/31/15,5,0,9,6,1,8,9,2,3,10,21 to 35,Male,743.1
206,7/31/15,3,1,10,10,2,5,9,2,5,10,51 or more,Female,725.5
207,7/31/15,5,1,7,10,1,8,6,2,5,10,21 to 35,Male,749.3
208,8/1/15,3,4,5,10,2,10,6,2,5,3,36 to 50,Female,703.8
209,8/1/15,4,5,4,10,1,8,6,2,2,5,51 or more,Female,660.9
210,8/1/15,4,2,10,4,1,2,7,1,5,10,36 to 50,Male,702.4
211,8/1/15,2,5,2,10,2,5,10,2,2,7,36 to 50,Male,639.0
212,8/1/15,1,3,4,2,2,1,9,2,0,1,21 to 35,Male,609.1
213,8/2/15,5,0,3,5,2,9,4,2,4,10,51 or more,Male,645.4
214,8/2/15,4,2,5,9,1,7,8,2,3,3,36 to 50,Female,688.3
215,8/3/15,4,1,9,4,1,4,9,2,3,4,21 to 35,Female,698.1
216,8/3/15,5,5,5,2,1,8,6,1,3,5,21 to 35,Female,615.0
217,8/3/15,4,2,8,7,1,9,7,2,5,10,36 to 50,Female,727.6
218,8/3/15,4,1,10,8,2,5,7,2,3,10,36 to 50,Female,720.0
219,8/3/15,5,3,10,10,2,10,7,2,4,10,36 to 50,Female,727.8
220,8/3/15,5,0,10,10,2,8,8,2,3,10,51 or more,Female,754.8
221,8/3/15,1,4,4,4,2,3,6,2,1,5,36 to 50,Male,624.2
222,8/3/15,4,2,4,6,1,7,8,2,1,4,36 to 50,Female,676.4
223,8/3/15,3,4,1,0,1,2,7,1,0,1,21 to 35,Male,573.2
224,8/3/15,2,5,1,0,2,1,5,2,0,1,51 or more,Female,581.1
225,8/3/15,5,3,2,5,1,3,7,2,2,5,36 to 50,Female,624.4
226,8/3/15,3,1,5,7,1,6,8,2,5,7,21 to 35,Female,667.7
227,8/3/15,4,2,3,3,2,6,8,2,5,8,21 to 35,Male,667.7
228,8/3/15,5,2,10,5,1,6,8,2,6,10,21 to 35,Female,754.4
229,8/3/15,4,3,9,10,1,6,6,2,3,7,36 to 50,Female,706.4
230,8/3/15,5,5,4,9,1,8,5,2,1,3,51 or more,Male,645.4
231,8/4/15,1,3,3,5,2,1,5,2,8,2,36 to 50,Female,598.1
232,8/4/15,2,2,8,3,1,7,7,2,0,4,21 to 35,Male,625.2
233,8/4/15,5,1,10,10,1,3,7,2,2,5,21 to 35,Male,728.1
234,8/4/15,4,3,2,8,1,2,7,2,0,7,51 or more,Female,668.4
235,8/4/15,5,4,10,10,2,8,6,2,6,3,51 or more,Female,710.2
236,8/4/15,1,2,2,6,1,3,7,2,4,10,Less than 20,Male,629.5
237,8/4/15,2,3,10,10,1,8,6,2,2,4,36 to 50,Female,693.2
238,8/5/15,4,4,5,10,2,6,7,2,2,5,21 to 35,Male,638.6
239,8/5/15,4,3,10,10,2,7,8,2,4,10,36 to 50,Male,729.1
240,8/5/15,2,3,3,3,1,4,6,1,1,2,51 or more,Male,607.4
241,8/5/15,4,4,5,10,1,9,7,2,1,2,21 to 35,Male,685.1
242,8/5/15,2,5,5,10,1,5,8,2,3,10,21 to 35,Female,655.6
243,8/5/15,2,1,2,2,2,5,8,2,5,10,36 to 50,Female,664.1
244,8/5/15,2,2,8,3,1,3,8,2,1,5,21 to 35,Female,672.2
245,8/5/15,1,2,6,7,2,2,7,2,5,7,51 or more,Male,665.0
246,8/5/15,2,2,10,7,2,4,6,2,5,7,36 to 50,Female,687.3
247,8/5/15,5,1,3,5,1,4,8,2,3,3,51 or more,Female,646.9
248,8/5/15,4,4,6,2,1,8,8,2,1,5,51 or more,Male,681.7
249,8/5/15,4,1,8,8,1,10,7,2,5,7,51 or more,Male,741.4
250,8/5/15,3,1,4,10,2,10,8,2,7,5,21 to 35,Female,722.9
251,8/5/15,3,4,6,4,1,8,9,2,0,9,Less than 20,Female,620.7
252,8/5/15,3,4,4,3,1,8,8,2,0,5,Less than 20,Female,589.9
253,8/5/15,5,1,5,10,1,5,7,2,2,10,21 to 35,Male,720.0
254,8/5/15,3,3,1,1,2,5,8,2,1,3,21 to 35,Female,575.7
255,8/6/15,5,1,10,10,1,5,6,2,0,7,51 or more,Female,684.1
256,8/6/15,5,2,10,10,1,5,7,2,10,10,36 to 50,Female,769.3
257,8/6/15,2,3,3,6,1,3,6,2,1,3,36 to 50,Female,620.8
258,8/6/15,1,5,4,10,2,1,4,1,8,3,21 to 35,Female,601.3
259,8/6/15,5,2,10,10,2,8,5,2,10,10,51 or more,Female,771.2
260,8/6/15,4,2,4,5,2,8,7,2,1,10,51 or more,Female,671.3
261,8/6/15,4,5,8,7,1,2,7,2,3,10,21 to 35,Male,649.7
262,8/6/15,1,4,5,3,2,5,5,2,1,3,21 to 35,Male,600.6
263,8/6/15,4,2,3,10,1,8,7,2,2,10,36 to 50,Female,700.2
264,8/6/15,4,2,4,4,1,10,6,2,0,7,36 to 50,Female,646.0
265,8/6/15,0,1,5,7,2,3,7,2,6,6,36 to 50,Female,636.3
266,8/7/15,2,3,8,10,1,2,6,2,0,10,21 to 35,Female,681.8
267,8/7/15,3,1,9,10,2,5,5,2,9,5,36 to 50,Male,699.2
268,8/7/15,4,4,5,7,2,2,6,1,3,3,51 or more,Female,642.7
269,8/7/15,3,3,4,10,1,7,5,1,2,7,21 to 35,Female,665.6
270,8/7/15,5,0,6,6,2,5,6,2,10,7,51 or more,Male,684.1
271,8/7/15,2,3,10,6,2,6,6,2,2,8,36 to 50,Male,641.8
272,8/8/15,1,4,1,10,2,1,8,2,5,1,51 or more,Female,627.6
273,8/8/15,3,5,2,10,1,5,5,1,1,10,36 to 50,Male,673.7
274,8/8/15,1,4,4,6,2,3,7,2,3,5,51 or more,Male,682.2
275,8/8/15,1,3,3,5,2,1,6,2,0,1,36 to 50,Female,579.6
276,8/8/15,5,2,5,2,2,3,7,2,4,10,51 or more,Female,656.7
277,8/8/15,5,2,2,2,1,5,8,1,4,10,Less than 20,Female,655.6
278,8/8/15,5,2,6,6,1,8,9,2,6,10,Less than 20,Male,709.1
279,8/9/15,5,5,3,1,2,5,9,1,0,2,21 to 35,Female,553.8
280,8/9/15,3,4,4,7,2,7,8,2,0,10,21 to 35,Female,630.5
281,8/9/15,2,1,8,6,1,6,8,2,4,2,Less than 20,Female,710.2
282,8/9/15,3,1,10,7,1,8,5,2,4,10,36 to 50,Female,754.2
283,8/9/15,3,3,6,10,2,6,6,1,1,7,36 to 50,Female,657.1
284,8/9/15,2,5,4,10,1,10,6,1,2,4,21 to 35,Female,610.3
285,8/9/15,1,3,0,2,2,1,7,2,0,10,21 to 35,Male,556.0
286,8/9/15,4,5,1,10,2,5,6,1,0,7,21 to 35,Male,554.9
287,8/9/15,3,1,2,5,2,2,6,2,4,10,36 to 50,Male,683.5
288,8/9/15,5,2,3,6,1,10,8,2,5,10,21 to 35,Female,721.2
289,8/9/15,2,3,6,10,2,4,7,2,4,3,21 to 35,Male,668.8
290,8/9/15,2,2,5,10,2,5,7,1,5,10,36 to 50,Male,638.4
291,8/9/15,5,5,2,0,2,2,6,1,0,2,21 to 35,Female,559.4
292,8/9/15,2,4,3,10,1,7,8,2,2,7,36 to 50,Male,679.8
293,8/10/15,2,1,2,1,2,5,5,2,5,4,21 to 35,Male,632.9
294,8/10/15,5,3,10,10,1,6,8,2,10,6,36 to 50,Female,722.1
295,8/10/15,5,2,2,6,2,1,7,2,2,10,51 or more,Female,683.5
296,8/10/15,4,3,5,7,1,7,5,2,1,3,21 to 35,Female,691.1
297,8/10/15,3,0,10,3,1,9,7,2,7,5,36 to 50,Male,702.1
298,8/10/15,4,3,10,10,1,7,7,2,1,10,51 or more,Female,764.6
299,8/10/15,4,2,5,4,1,8,7,2,1,10,51 or more,Male,701.9
300,8/10/15,5,5,5,5,2,5,5,2,5,5,36 to 50,Male,656.7
301,8/10/15,3,3,10,10,2,2,5,2,4,6,51 or more,Female,703.7
302,8/10/15,2,3,6,10,2,2,7,2,1,7,21 to 35,Female,648.0
303,8/10/15,5,1,5,3,1,7,7,2,1,4,51 or more,Female,683.0
304,8/10/15,1,1,5,5,1,3,8,2,1,6,21 to 35,Male,643.3
305,8/10/15,3,4,10,4,2,2,9,1,2,5,36 to 50,Male,643.3
306,8/10/15,1,2,7,8,2,3,7,2,1,7,36 to 50,Female,682.2
307,8/11/15,4,3,5,2,1,2,7,2,1,5,36 to 50,Female,646.3
308,8/11/15,3,3,6,3,1,5,5,2,1,2,36 to 50,Male,626.1
309,8/11/15,1,2,8,3,2,2,9,2,1,7,21 to 35,Female,622.9
310,8/11/15,5,4,5,5,2,4,7,1,3,10,36 to 50,Female,633.1
311,8/11/15,1,3,5,3,2,4,8,1,2,3,36 to 50,Male,609.5
312,8/11/15,1,4,10,10,2,10,6,2,0,0,36 to 50,Female,625.6
313,8/11/15,4,5,2,10,2,10,8,2,3,3,36 to 50,Female,656.6
314,8/11/15,2,4,4,10,2,4,8,2,1,3,36 to 50,Male,663.9
315,8/11/15,5,2,7,3,1,9,9,1,1,7,36 to 50,Female,704.2
316,8/11/15,3,3,2,4,1,6,8,2,2,6,36 to 50,Male,666.0
317,8/11/15,1,2,5,10,1,8,7,2,4,3,51 or more,Male,642.4
318,8/11/15,3,1,7,10,2,8,7,2,7,7,36 to 50,Female,686.6
319,8/11/15,3,1,2,6,1,6,9,2,0,6,51 or more,Male,659.4
320,8/12/15,3,1,1,1,1,5,7,2,8,5,51 or more,Male,621.4
321,8/12/15,3,3,7,10,1,9,7,2,7,10,36 to 50,Female,731.0
322,8/12/15,1,3,10,10,1,10,8,1,1,10,21 to 35,Male,663.4
323,8/12/15,2,3,8,4,1,4,7,1,8,4,Less than 20,Female,667.1
324,8/12/15,2,5,3,2,2,4,8,1,1,3,36 to 50,Female,585.7
325,8/12/15,3,2,2,3,1,5,8,1,2,1,36 to 50,Female,626.7
326,8/12/15,2,5,1,5,2,4,6,1,1,3,21 to 35,Female,597.2
327,8/12/15,3,2,1,5,1,4,8,2,3,9,21 to 35,Female,675.8
328,8/12/15,5,1,5,3,1,10,8,2,5,3,51 or more,Female,729.7
329,8/12/15,5,3,10,2,1,6,8,2,2,7,36 to 50,Female,703.4
330,8/13/15,3,4,6,3,1,8,6,2,4,10,21 to 35,Female,655.8
331,8/13/15,2,2,5,2,1,5,8,1,1,4,21 to 35,Male,625.0
332,8/13/15,0,1,6,5,2,3,7,2,1,10,21 to 35,Male,626.1
333,8/13/15,2,4,4,6,1,5,7,1,5,4,21 to 35,Female,653.7
334,8/13/15,5,0,1,10,1,5,10,2,10,10,21 to 35,Male,724.0
